"orgName","type","invoiceText","startOn","cost","currency","qty"
"BIG Info co.,ltd.","EXTEND","BizPhone Standard ","2018-06-08","251.6129","THB","1"
"Chameleon Strategies Co,.Ltd (2)","EXTEND","Virtual Line Professional ","2018-05-16","375.0","THB","1"
"Sagami Shoko(Thailand) Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-14","212.9032","THB","1"
"Trial account - Rockworth","REACTIVATE","Call Tracking Standard ","2018-06-03","580.6452","THB","1"
"Asianwise Consulting & Solutions","EXTEND","Virtual Line Professional ","2018-04-13","250.0","THB","1"
"Chameleon Strategies Co,.Ltd (2)","EXTEND","Call Recording Standard ","2018-05-16","300.0","THB","1"
"WSMART","SUBSCRIBE","Virtual Line Professional ","2018-04-05","250.0","THB","11"
"H.B. Group International Ltd.","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-04-07","250.0","THB","1"
"Scott Berry & Associate Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Indigo International Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-16","300.0","THB","1"
"SD Silver House","EXTEND","BizPhone Standard ","2018-05-26","200.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Call Recording Standard ","2018-05-25","300.0","THB","1"
"Mediakeys","EXTEND","Call Recording Standard ","2018-05-16","200.0","THB","1"
"Chiang Mai I.V.F. Polyclinic","EXTEND","Virtual Line Professional ","2018-06-18","250.0","THB","1"
"Phoenix Media","EXTEND","Call Recording Standard ","2018-04-08","200.0","THB","1"
"Soho Hospitality Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Alliance Group (Mother Company)","EXTEND","BizPhone Standard ","2018-06-03","600.0","THB","1"
"Natural Health Food","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Direct Asia","SKU_CHANGE","Call Tracking Standard - 17 Tracked Number","2018-04-24","2138.7097","THB","1"
"SM Trading and Services","EXTEND","Virtual Line Professional ","2018-05-27","250.0","THB","1"
"Soho Hospitality Co.,Ltd.","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","1"
"Tomato Ideas Co Ltd","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Built Land","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","2"
"Built Land PLC.","EXTEND","BizPhone Standard ","2018-06-04","1500.0","THB","1"
"DeeMoney","EXTEND","Virtual Line Business Plus ","2018-04-24","1000.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Virtual Line Business ","2018-06-25","612.9032","THB","1"
"Digital Monopoly (Asia) Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-01","200.0","THB","1"
"Nice Loop","EXTEND","BizPhone Standard ","2018-06-17","200.0","THB","1"
"Khun Santosh","EXTEND","Call Recording Standard ","2018-06-17","200.0","THB","1"
"Phoenix Media","EXTEND","BizPhone Standard ","2018-06-08","251.6129","THB","1"
"Grey Seven (Thailand) Co.,Ltd.","EXTEND","BizPhone Standard ","2018-06-17","300.0","THB","1"
"Lanna Softworks Co.,Ltd","EXTEND","Call Recording Standard ","2018-05-01","500.0","THB","1"
"Scott Berry & Associate Co.,Ltd.","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Grey Seven (Thailand) Co.,Ltd.","EXTEND","Virtual Line Business ","2018-06-17","500.0","THB","1"
"Crystal J. Commercial Auto Car","EXTEND","BizPhone Standard ","2018-06-07","100.0","THB","1"
"Ocean Property Company Limited","EXTEND","Call Recording Standard ","2018-06-01","1000.0","THB","1"
"Rado Estate Co.,Ltd.","EXTEND","Call Recording Standard ","2018-06-01","200.0","THB","1"
"Alliance Group (Mother Company)","EXTEND","BizPhone Standard ","2018-05-03","600.0","THB","1"
