"orgName","dest","source","answerTime","endTime","durationInSecond"
"M10114420 - BrillantEz Solutions Pte Ltd","+6565898898","private","2018-04-01T05:09:19","2018-04-01T05:09:34","15.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6581502935","+6565898898","null","2018-04-01T05:09:35","0.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6593886064","+6565898898","null","2018-04-01T05:09:35","0.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6565898898","private","2018-04-01T05:12:23","2018-04-01T05:14:14","111.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6593886064","+6565898898","null","2018-04-01T05:12:56","0.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6581502935","+6565898898","null","2018-04-01T05:12:56","0.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6565898898","private","2018-04-01T06:02:26","2018-04-01T06:03:18","52.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6593886064","+6565898898","null","2018-04-01T06:02:59","0.0"
"M10114420 - BrillantEz Solutions Pte Ltd","+6581502935","+6565898898","null","2018-04-01T06:02:59","0.0"
"M10124807 - Pagoda House","+6567322177","+6583327515","2018-04-01T07:29:54","2018-04-01T07:30:30","36.0"
"M10124807 - Pagoda House","sip:sip5136229@sip1.b3networks.com","+6583327515","null","2018-04-01T07:30:20","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146707","null","2018-04-01T08:10:45","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146707","null","2018-04-01T08:10:56","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146707","null","2018-04-01T08:11:25","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116590257687","+6567146707","null","2018-04-01T08:11:41","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146707","null","2018-04-01T08:13:15","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146707","null","2018-04-01T08:20:43","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146773","null","2018-04-01T08:36:36","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+6567146773","+6582826313","2018-04-01T08:38:44","2018-04-01T08:39:11","27.0"
"M10124763 - WeWork Singapore Pte Ltd","sip:sip2139035@sip1.b3networks.com","+6582826313","null","2018-04-01T08:39:12","0.0"
"M10124664 - SP Telecommunications Pte Ltd","+6566028288","+6590304038","2018-04-01T09:34:50","2018-04-01T09:36:40","110.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip0143448@sip1.b3networks.com","+6590304038","null","2018-04-01T09:35:09","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip2316296@sip1.b3networks.com","+6590304038","null","2018-04-01T09:35:05","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip6673796@sip1.b3networks.com","+6590304038","null","2018-04-01T09:35:09","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip8401015@sip1.b3networks.com","+6590304038","2018-04-01T09:35:08","2018-04-01T09:36:42","94.0"
"M10124664 - SP Telecommunications Pte Ltd","room:conf_9901932512837734225110014173136136","+6568494769","2018-04-01T09:35:09","2018-04-01T09:36:42","93.0"
"M10124664 - SP Telecommunications Pte Ltd","+6593223427","+6566028288","2018-04-01T09:39:41","2018-04-01T09:39:49","8.0"
"M10124664 - SP Telecommunications Pte Ltd","+6566028288","+6593223427","2018-04-01T09:48:10","2018-04-01T09:50:21","131.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip2316296@sip1.b3networks.com","+6593223427","null","2018-04-01T09:48:23","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip0143448@sip1.b3networks.com","+6593223427","null","2018-04-01T09:48:27","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip6673796@sip1.b3networks.com","+6593223427","null","2018-04-01T09:48:27","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip8401015@sip1.b3networks.com","+6593223427","2018-04-01T09:48:26","2018-04-01T09:50:26","120.0"
"M10124664 - SP Telecommunications Pte Ltd","room:conf_99019325926836560712100141739191","+6568494769","2018-04-01T09:48:27","2018-04-01T09:50:22","115.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146773","null","2018-04-01T09:48:50","0.0"
"ZONE Telecom Pte Ltd - M10000106","+6582826313","+6567146773","null","2018-04-01T09:48:50","0.0"
"M10124763 - WeWork Singapore Pte Ltd","+15116582826313","+6567146707","null","2018-04-01T09:54:41","0.0"
"ZONE Telecom Pte Ltd - M10000106","+6582826313","+6567146707","null","2018-04-01T09:54:41","0.0"
"M10124664 - SP Telecommunications Pte Ltd","+6566028288","+6593223427","2018-04-01T10:01:31","2018-04-01T10:05:30","239.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip8401015@sip1.b3networks.com","+6593223427","2018-04-01T10:01:50","2018-04-01T10:05:32","222.0"
"M10124664 - SP Telecommunications Pte Ltd","room:conf_99019326730356164576100141732525","+6568494769","2018-04-01T10:01:51","2018-04-01T10:05:31","220.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip2316296@sip1.b3networks.com","+6593223427","null","2018-04-01T10:01:45","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip0143448@sip1.b3networks.com","+6593223427","null","2018-04-01T10:01:51","0.0"
"M10124664 - SP Telecommunications Pte Ltd","sip:sip6673796@sip1.b3networks.com","+6593223427","null","2018-04-01T10:01:51","0.0"
"M10124664 - SP Telecommunications Pte Ltd","+6593223427","+6566028288","2018-04-01T10:22:32","2018-04-01T10:22:43","11.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6598552463","2018-04-01T13:37:10","2018-04-01T13:37:52","42.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6564663858","+6598552463","2018-04-01T13:37:46","2018-04-01T13:37:52","6.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6598552463","2018-04-01T13:38:03","2018-04-01T13:38:27","24.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","sip:sip6252361@sip1.b3networks.com","+6598552463","null","2018-04-01T13:38:29","0.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6598552463","2018-04-01T13:38:59","2018-04-01T13:40:07","68.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","sip:sip6252361@sip1.b3networks.com","+6598552463","null","2018-04-01T13:40:09","0.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","private","2018-04-01T13:49:21","2018-04-01T13:50:47","86.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6564663858","private","2018-04-01T13:49:48","2018-04-01T13:50:47","59.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6597741938","2018-04-01T13:52:12","2018-04-01T13:52:44","32.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6597741938","2018-04-01T13:54:59","2018-04-01T13:56:04","65.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","sip:sip6252361@sip1.b3networks.com","+6597741938","null","2018-04-01T13:56:05","0.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6597741938","2018-04-01T13:57:04","2018-04-01T13:57:37","33.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6597741938","2018-04-01T14:22:56","2018-04-01T14:24:42","106.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6597957176","2018-04-01T14:22:56","2018-04-01T14:25:04","128.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","sip:sip6252361@sip1.b3networks.com","+6597957176","null","2018-04-01T14:23:59","0.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6596707130","2018-04-01T15:48:56","2018-04-01T15:49:21","25.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6567504555","+6596707130","2018-04-01T15:49:38","2018-04-01T15:51:03","85.0"
"M10124930 - Five Star Kampong Chicken Rice Pte Ltd","+6564663858","+6596707130","2018-04-01T15:50:10","2018-04-01T15:51:03","53.0"
